articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2015,1,0.3750085693381846,F,NA,MATCH,TRUE
-2015,24.1,23.3,F,3.3195020746887995,MINOR_ERROR,NA
-2015,.001,6.011282622810114e-13,p,NA,MATCH,TRUE
-2015,0.27,0.27,other,0,MATCH,NA
-2015,16.28,16.28,F,0,MATCH,NA
-2015,0.001,1.765497805979647e-9,p,NA,MATCH,TRUE
-2015,0.2,0.2,other,0,MATCH,NA
-2015,0.001,0.001,p,NA,MATCH,TRUE
-2015,0.28,0.28,other,0,MATCH,NA
-2015,0.001,0.001,p,NA,MATCH,TRUE
-2015,0.28,0.28,other,0,MATCH,NA
-2015,0.053,0.053,p,0,MATCH,NA
-2015,0.08,0.08,other,0,MATCH,NA
-2015,0.001,0.001,p,NA,MATCH,TRUE
-2015,0.24,0.24,other,0,MATCH,NA
